Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1861.63 is over the calibration range,FALSE,103SMPL.d,12/18/21 07:58 PM,,Sample,,3099_1_10-30,,0.062,2.2,,,0.003,5.2,1861.63,22.4,47.738,0.2,0.002,12.3,0.001,12.3,0.001,50,0.001,26.5,0,78.7,26.121,1,26.082,0.6,0.004,12.7,0,24.1,0,60.6,0,21.5,<0.000,N/A,0.004,6.8,40.527,0.3,0,23,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,104SMPL.d,12/18/21 08:03 PM,,Sample,,3099_1_10-60,,0.061,2.8,,,0.004,8.8,960.779,75.8,200.613,1.2,0.005,6.6,0.001,15.6,0,100,0.001,28.4,0.001,36.7,149.124,0.4,148.181,0.3,0.018,1.2,0,21.8,0.001,20,0,29.6,<0.000,N/A,0.024,2.8,214.522,1.2,0.002,13,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1381.18 is over the calibration range,FALSE,105SMPL.d,12/18/21 08:08 PM,,Sample,,3099_1_50-10,,0.064,3,,,0.004,7,1381.18,39.9,32.956,0.6,0.004,9.3,0.001,35.8,0.002,28.6,0.001,37.5,0,50,19.492,0.4,20.409,0.7,0.003,8.2,0,26.4,0.001,20,0,24.7,<0.000,N/A,0.003,6,18.875,0.6,0.001,17.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1561.27 is over the calibration range,FALSE,106SMPL.d,12/18/21 08:14 PM,,Sample,,3099_1_50-30,,0.065,3.9,,,0.004,8.1,1561.266,17.6,121.227,0.2,0.005,8.7,0.001,26,0.001,21.7,0.002,8.7,0.001,0,94.022,0.4,93.943,0.4,0.011,6.8,0,43.3,0.001,33.1,0,6.9,<0.000,N/A,0.015,1.3,116.291,0.8,0.001,17.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.13 is over the calibration range,FALSE,107SMPL.d,12/18/21 08:19 PM,,Sample,,cal check 100 #2,,86.887,1,,,87.964,0.9,1321.131,83.3,89.159,0.6,89.733,0.7,89.027,0.4,92.11,0.7,93.141,1.5,93.848,0.5,91.872,0.9,90.673,0.3,93.979,0.5,90.163,0.9,93.769,1.4,89.879,0.4,93.421,1.3,92.308,1.4,94.77,0.6,92.587,0.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,108SMPL.d,12/18/21 08:23 PM,,Sample,,blank,,0.181,2.2,,,0.002,19.9,1200.974,45.8,0.002,13,0.002,9.4,0.001,1.4,0.001,0,0.001,20.4,0.001,16.4,0.002,4.3,0.002,25.7,0.001,18.9,0.001,9.1,0.001,42.6,0.001,14.3,<0.000,N/A,0.001,0.8,0.002,19.1,0.001,23.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1441.17 is over the calibration range,FALSE,109SMPL.d,12/18/21 08:28 PM,,Sample,,3099_2_10-30,,0.078,2.8,,,0.003,5.2,1441.169,37.5,47.405,0.6,0.002,7.9,0.001,8.5,0.001,69.3,0.001,32.8,0,15.7,26.267,0.4,25.683,0.8,0.004,8.4,0,16.9,0,62.3,0,12.1,<0.000,N/A,0.004,1.9,39.391,0.6,0.001,22,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,110SMPL.d,12/18/21 08:33 PM,,Sample,,3099_2_10-60,,0.066,3.7,,,0.004,4.9,1261.023,57.1,198.639,0.7,0.004,4.9,0.001,21.7,0.001,43.3,0.001,43.6,0,31.5,150.524,0.5,150.347,1.1,0.018,7.4,0,18.4,0.001,43.8,0,29.6,<0.000,N/A,0.023,4.5,216.569,0.6,0.002,3.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1140.93 is over the calibration range,FALSE,111SMPL.d,12/18/21 08:38 PM,,Sample,,3099_2_50-10,,0.066,4.1,,,0.003,10.4,1140.925,36.5,25.482,1,0.003,12.1,0.001,20.1,0.001,34.6,0.001,9.1,0,43.3,13.681,0.2,13.633,0.5,0.002,13.6,0,38.2,0.001,49.4,0,15.7,<0.000,N/A,0.002,5.2,13.962,0.7,0,20.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1621.31 is over the calibration range,FALSE,112SMPL.d,12/18/21 08:44 PM,,Sample,,3099_2_50-30,,0.068,2.9,,,0.004,4.3,1621.315,33.3,115.636,0.9,0.005,4.1,0.001,6,0.001,43.3,0.001,31.9,0,57.7,86.454,0.4,86.022,0.8,0.01,15,0,49.4,0,27,0,7.9,<0.000,N/A,0.013,3.7,107.79,1.4,0.001,11.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.07 is over the calibration range,FALSE,113SMPL.d,12/18/21 08:49 PM,,Sample,,3099_3_10-30,,0.06,0.7,,,0.004,10.6,1321.071,51.6,46.203,0.8,0.002,5.2,0,45.3,0.001,33.3,0.001,17.6,0,88.2,26.073,1.1,25.597,1,0.004,22.7,0,34.6,0,60,0,28.4,<0.000,N/A,0.004,9.1,39.121,0.6,0,17.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1621.37 is over the calibration range,FALSE,114SMPL.d,12/18/21 08:54 PM,,Sample,,3099_3_10-60,,0.061,2.9,,,0.005,2.1,1621.375,44.4,190.724,1.4,0.004,3.8,0,15.7,0.001,56.8,0.001,27,0,49.5,144.044,1.1,142.363,0.5,0.016,3.8,0,21.7,0,45.8,0,12.5,<0.000,N/A,0.022,2.2,207.044,1.3,0.002,15.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,115SMPL.d,12/18/21 08:59 PM,,Sample,,3099_3_50-10,,0.064,0.7,,,0.004,7.6,1261.023,37.8,26.963,0.6,0.003,4.5,0.001,9.1,0.001,50,0.001,16.7,0,86.6,14.691,0.8,14.633,0.6,0.003,28.6,0,53.3,0.001,56.7,0,13.3,<0.000,N/A,0.002,4.1,14.337,0.8,0,27.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1080.88 is over the calibration range,FALSE,116SMPL.d,12/18/21 09:04 PM,,Sample,,3099_3_50-30,,0.063,2.1,,,0.005,8.7,1080.876,16.7,112.565,0.4,0.005,1.7,0,12.1,0.001,33.3,0.001,16.7,0,43.3,83.765,1.1,82.588,0.4,0.01,10.9,0,43.3,0.001,37.6,0,58.1,<0.000,N/A,0.013,0.5,104.097,0.7,0.001,17,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,117SMPL.d,12/18/21 09:09 PM,,Sample,,2493_1_10-30,,0.06,2.1,,,0.004,7.1,780.633,26.6,55.76,0.2,0.002,5,0,33.7,0.001,43.3,0.001,57.7,0,15.7,34.07,0.5,33.601,0.6,0.006,8.1,0,68.6,0,69.3,0,44.6,<0.000,N/A,0.005,9.5,58.634,2,0.001,25.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1561.33 is over the calibration range,FALSE,118SMPL.d,12/18/21 09:14 PM,,Sample,,2493_1_10-60,,0.062,4,,,0.002,9.7,1561.326,13.3,200.11,1,0.004,4.2,0,31.5,0.001,33.3,0.001,14.3,0,50,152.497,1,153.388,1,0.016,2.8,0,21.7,0,32.7,0,39.7,<0.000,N/A,0.024,3.6,224.663,0.9,0.002,4.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1441.17 is over the calibration range,FALSE,119SMPL.d,12/18/21 09:19 PM,,Sample,,cal check 10 #3,,7.983,0.8,,,8.469,0.2,1441.169,33.1,8.752,0.2,8.759,0.3,8.808,0.5,8.844,0.5,8.837,0.9,8.738,0.7,8.813,0.8,8.777,0.5,8.778,0.5,8.842,0.8,8.876,0.5,8.898,0.5,8.255,0.8,8.938,0.2,8.895,0.6,8.976,0.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,120SMPL.d,12/18/21 09:24 PM,,Sample,,blank,,0.132,1.8,,,0.001,19.5,780.633,26.6,0.001,22.7,0.001,16.7,0,36.1,0,114.6,0,31.5,0,65.5,0.001,6.4,0.001,55.5,0,57.7,0,15.8,0,77.9,0,20.8,<0.000,N/A,0,16.4,0.001,20.5,0,8.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.07 is over the calibration range,FALSE,121SMPL.d,12/18/21 09:29 PM,,Sample,,2493_1_50-10,,0.075,4.6,,,0.003,15.9,1321.071,56.8,20.806,1,0.002,4.6,0,36.4,0.001,17.3,0.001,34.6,0,33.3,10.999,0.3,10.896,0.6,0.002,5.7,0,24.7,0,60,0,44.1,<0.000,N/A,0.002,5.2,11.544,0.3,0,33.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.07 is over the calibration range,FALSE,122SMPL.d,12/18/21 09:34 PM,,Sample,,2493_1_50-30,,0.07,2.6,,,0.003,9.9,1321.071,15.7,107.734,0.6,0.004,2.2,0,19.6,0.002,34.6,0.001,27.1,0,57.3,79.47,0.3,78.945,0.7,0.01,10.5,0,10.2,0,25,0,39.7,<0.000,N/A,0.012,4.5,100.011,0.8,0.001,8.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,123SMPL.d,12/18/21 09:39 PM,,Sample,,2493_2_10-30,,0.064,0.2,,,0.002,10.9,840.682,32.7,50.515,0.3,0.002,9.1,0,7.9,0.001,86.6,0.001,61.9,0,50,28.772,1,28.658,0.6,0.005,25.2,0,57.1,0,87.7,0,87,<0.000,N/A,0.005,7,42.706,2.2,0,34.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 2161.87 is over the calibration range,FALSE,124SMPL.d,12/18/21 09:44 PM,,Sample,,2493_2_10-60,,0.064,3,,,0.002,3.7,2161.873,36.3,196.193,0.7,0.004,9.2,0,31.4,0.001,91.7,0.001,16.7,0,86.6,149.688,0.4,149.345,0.2,0.017,5,0,75.5,0,45.8,0,52.9,<0.000,N/A,0.023,3.8,215.373,0.7,0.002,7.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,125SMPL.d,12/18/21 09:49 PM,,Sample,,2493_2_50-10,,0.066,3.1,,,0.002,10.7,1261.023,14.3,28.206,1.3,0.003,10.2,0,8.3,0.001,24.7,0.001,49.7,0,0,15.652,0.4,15.608,0.8,0.003,21.7,0,62.4,0,57.3,0,44.6,<0.000,N/A,0.003,15.6,15.325,0.3,0,24.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,126SMPL.d,12/18/21 09:54 PM,,Sample,,2493_2_50-30,,0.068,3.7,,,0.002,4,1261.023,37.8,116.59,0.8,0.005,13.5,0,19.2,0.001,86.6,0.001,6,0,173.2,88.862,0.8,88.628,0.4,0.01,18.6,0,50,0,17.3,0,40.8,<0.000,N/A,0.014,3.6,109.724,0.7,0.001,4.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1681.36 is over the calibration range,FALSE,127SMPL.d,12/18/21 09:59 PM,,Sample,,3145_1_10-30,,0.061,4.2,,,0.002,17.9,1681.363,16.4,58.042,0.8,0.002,2.4,0,6.7,0.001,69.3,0.001,52.7,0,100,34.972,0.7,34.283,0.9,0.005,6.6,0,75,0,68.6,0,10.2,<0.000,N/A,0.005,3.1,54.231,0.7,0.001,30.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1621.37 is over the calibration range,FALSE,128SMPL.d,12/18/21 10:05 PM,,Sample,,3145_1_10-60,,0.062,0.3,,,0.002,9.9,1621.375,33.3,200.998,0.3,0.004,9.1,0,9.6,0.001,69.3,0.001,19.2,0,45.8,156.641,0.8,154.981,1.7,0.015,6,0,0,0,32.7,0,33.3,<0.000,N/A,0.024,1.4,222.201,0.9,0.002,5.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,129SMPL.d,12/18/21 10:09 PM,,Sample,,3145_1_50-10,,0.065,0.7,,,0.002,14.5,900.73,40,34.809,0.9,0.003,2.1,0,20,0,86.6,0.001,72.1,0,43.3,21.872,1,21.986,0.5,0.003,12.1,0,45.8,0,78.1,0,69.3,<0.000,N/A,0.003,2,20.663,0.3,0,15.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1741.47 is over the calibration range,FALSE,130SMPL.d,12/18/21 10:15 PM,,Sample,,3145_1_50-30,,0.068,2.5,,,0.002,9.2,1741.472,26,122.338,0.4,0.005,4.5,0,52.7,0.001,21.7,0.001,51.6,0,31.5,95.633,0.8,95.525,0.1,0.01,15.6,0,45.8,0,45.8,0,20,<0.000,N/A,0.015,3.2,116.707,0.4,0.001,9.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,131SMPL.d,12/18/21 10:20 PM,,Sample,,cal check 25 #3,,20.322,0.3,,,22.487,2.4,1261.023,37.8,23.008,1.1,23.069,0.5,22.9,1.1,22.061,0.3,22.087,0.2,22.023,0.6,23.083,0.5,23.027,2,22.038,0.1,23.123,1.1,22.257,0.5,23.133,0.9,21.659,0.2,23.335,1,22.326,0.2,23.724,0.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,132SMPL.d,12/18/21 10:25 PM,,Sample,,blank,,0.148,2.3,,,0.001,27.4,840.682,24.7,0.005,22.6,0.001,7.7,0.001,11.4,0.001,62.4,0.001,56.7,0.001,15.7,0.005,24.1,0.004,14.2,0.001,18.2,0.001,15.8,0.001,50.9,0.001,26.7,<0.000,N/A,0.001,16.9,0.006,25.6,0.001,19.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,133SMPL.d,12/18/21 10:30 PM,,Sample,,3145_2_10-30,,0.072,4.2,,,0.002,33,1200.974,43.3,51.841,0.5,0.002,13.6,0.001,6,0.001,107.9,0.002,29.1,0.001,59.2,29.769,0.9,29.641,1.5,0.005,6.6,0.001,17.7,0.001,13.3,0.001,25.3,<0.000,N/A,0.005,3.6,46.999,1.1,0.001,23.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 6125.27 is over the calibration range,FALSE,134SMPL.d,12/18/21 10:35 PM,,Sample,,3145_2_10-60,,0.095,3.8,,,0.062,2.4,6125.267,15.6,196.697,0.6,0.152,0.8,0.021,2.6,0.073,1,0.075,5.9,0.015,2.8,150.067,0.1,149.839,0.1,0.031,7.5,0.002,9.8,0.011,6.6,0.003,9.8,<0.000,N/A,0.025,4.2,214.297,0.6,0.004,10.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1381.12 is over the calibration range,FALSE,135SMPL.d,12/18/21 10:40 PM,,Sample,,3145_2_50-10,,0.068,2.8,,,0.003,20.6,1381.12,15.1,32.345,0.8,0.004,4.1,0.001,16.9,0.001,66.1,0.001,16.9,0,49.5,19.039,0.1,20.085,1.2,0.003,20.3,0,23.8,0,39,0,45.3,<0.000,N/A,0.004,3.7,19.38,0.3,0.001,21,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,136SMPL.d,12/18/21 10:45 PM,,Sample,,3145_2_50-30,,0.068,3.8,,,0.003,6,1261.023,24.7,124.645,0.5,0.006,6.7,0.001,17.6,0.001,15.7,0.001,45.8,0.001,45.8,99.062,0.7,98.366,0.9,0.01,7.1,0.001,27.1,0.001,38.5,0.001,15.7,<0.000,N/A,0.016,1.9,121.069,0.5,0.002,7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1801.52 is over the calibration range,FALSE,137SMPL.d,12/18/21 10:50 PM,,Sample,,3145_3_10-30,,0.065,2.9,,,0.002,4.9,1801.521,26.5,54.341,0.3,0.002,10.9,0.001,9.4,0.001,65.5,0.001,33.3,0,15.7,32.42,0.4,31.978,1.1,0.005,12.1,0,17.3,0,35.3,0,22.9,<0.000,N/A,0.005,9.6,50.686,0.8,0.001,8.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.13 is over the calibration range,FALSE,138SMPL.d,12/18/21 10:55 PM,,Sample,,3145_3_10-60,,0.063,4.7,,,0.003,10.9,1321.131,41.7,196.227,0.4,0.005,8.4,0.001,17.4,0.001,45.8,0.001,11.5,0.001,33.1,151.49,0.4,151.463,0.5,0.018,5,0.001,9.9,0.001,43.3,0.001,24.6,<0.000,N/A,0.025,2.4,217.09,0.6,0.003,8.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1020.83 is over the calibration range,FALSE,139SMPL.d,12/18/21 11:00 PM,,Sample,,3145_3_50-10,,0.064,4.8,,,0.002,20.3,1020.828,20.4,34.339,0.6,0.003,5.2,0,6.7,0.001,66.7,0.001,28.4,0,24.7,20.36,1.3,21.392,1.7,0.003,8.6,0,43.3,0,17.3,0,75.5,<0.000,N/A,0.003,7.8,19.863,0.6,0,11.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,140SMPL.d,12/18/21 11:05 PM,,Sample,,3145_3_50-30,,0.063,1.6,,,0.002,8.2,960.779,21.7,122.751,0.1,0.005,2.9,0,12,0,173.2,0.001,22.9,0,49.5,96.605,0.6,96.507,0.7,0.01,5.1,0,86.6,0,86.6,0,17.3,<0.000,N/A,0.015,4.6,118.74,0.8,0.001,5.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.02 is over the calibration range,FALSE,141SMPL.d,12/18/21 11:10 PM,,Sample,,qwt4_1_10-30,,0.06,1.4,,,0.002,25.8,1261.023,14.3,65.193,0.5,0.002,2.9,0,35.9,0.001,124.9,0.001,20.8,0,99,40.421,1,40.203,0.6,0.006,16.9,0,17.3,0,21.7,0,53.3,<0.000,N/A,0.007,2,61.969,0.3,0.001,10.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,142SMPL.d,12/18/21 11:15 PM,,Sample,,qwt4_1_10-60,,0.061,2,,,0.003,4.8,1200.974,31.2,206.781,0.4,0.004,4.3,0.001,9.9,0.001,15.7,0.001,24.7,0.001,45.1,162.401,0.4,160.994,0.3,0.017,14.1,0,21.7,0,45.8,0,27.1,<0.000,N/A,0.027,0.3,228.136,1.2,0.003,13.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1080.88 is over the calibration range,FALSE,143SMPL.d,12/18/21 11:20 PM,,Sample,,cal check 50 #3,,42.878,1,,,43.763,1.7,1080.876,16.7,44.814,0.3,45.129,0.6,45.179,0.9,46.291,1.6,44.335,0.3,44.031,0.3,46.092,1.5,45.717,0.3,44.285,0.4,45.346,1.3,46.767,0.8,45.933,0.9,46.275,1.3,45.589,1.5,47.38,0.4,46.016,0.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1080.88 is over the calibration range,FALSE,144SMPL.d,12/18/21 11:25 PM,,Sample,,blank,,0.158,0.4,,,0.001,18.2,1080.876,28.9,0.003,77.1,0.001,5.4,0.001,14.4,0,114.6,0.001,71.8,0,21.7,0.002,76.9,0.002,51.5,0.001,37.7,0.001,8.9,0.001,45.3,0.001,22.2,<0.000,N/A,0.001,24.9,0.003,80.6,0.001,23.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,145SMPL.d,12/18/21 11:30 PM,,Sample,,qwt4_1_50-10,,0.079,5.1,,,0.002,10,1200.974,48.2,34.558,0.8,0.003,16.2,0,27.7,0.001,86.6,0.001,19.9,0,57.3,22.422,1.3,22.193,1,0.003,29,0,28.6,0,28.6,0,13.1,<0.000,N/A,0.004,4.4,20.974,0.4,0,18.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1801.58 is over the calibration range,FALSE,146SMPL.d,12/18/21 11:35 PM,,Sample,,qwt4_1_50-30,,0.072,1.6,,,0.003,3.7,1801.581,26.5,124.469,1.2,0.005,7,0.001,16.3,0.002,44.6,0.001,15.6,0.001,51.5,99.548,0.2,99.098,0.7,0.012,4,0.001,18.4,0.001,34.6,0,19.9,<0.000,N/A,0.016,1.2,122.013,1,0.002,21,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 2281.97 is over the calibration range,FALSE,147SMPL.d,12/18/21 11:40 PM,,Sample,,qwt4_2_10-30,,0.064,1.9,,,0.003,7.6,2281.97,35.6,55.864,0.4,0.003,3,0.002,6.5,0.002,45.8,0.002,24.7,0.002,24.8,33.157,2,33.307,0.9,0.006,12.9,0.001,22.6,0.002,16.6,0.001,22.7,<0.000,N/A,0.006,4.7,48.842,0.6,0.002,4.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1080.88 is over the calibration range,FALSE,148SMPL.d,12/18/21 11:45 PM,,Sample,,qwt4_2_10-60,,0.065,1.5,,,0.004,6.4,1080.876,0,203.756,0.5,0.005,3.9,0.002,29.7,0.002,24.7,0.002,20,0.001,33.1,159.629,0.5,157.313,0.7,0.018,4.6,0.001,42.8,0.001,28.8,0.001,32.3,<0.000,N/A,0.026,1,218.952,0.9,0.003,19.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1080.88 is over the calibration range,FALSE,149SMPL.d,12/18/21 11:50 PM,,Sample,,qwt4_2_50-10,,0.065,2.2,,,0.003,15.9,1080.876,57.7,32.025,0.8,0.004,7.6,0.001,26.8,0.001,87.7,0.001,36.5,0.001,71.8,19.18,0.3,20.087,0.3,0.004,5.6,0.001,25.5,0.001,19.9,0.001,25.6,<0.000,N/A,0.004,4,18.944,0.2,0.001,30.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.13 is over the calibration range,FALSE,150SMPL.d,12/18/21 11:55 PM,,Sample,,qwt4_2_50-30,,0.067,2.1,,,0.003,12.7,1321.131,28.4,118.895,1.2,0.006,4.6,0.001,14.7,0.002,20,0.002,10,0.001,27,94.868,0.3,94.517,0.1,0.011,7.6,0.001,24.3,0.001,15.6,0.001,24.5,<0.000,N/A,0.016,7.6,115.41,1.2,0.002,9.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1501.22 is over the calibration range,FALSE,151SMPL.d,12/19/21 12:00 AM,,Sample,,qwt4_3_10-30,,0.064,2.4,,,0.002,10,1501.217,25,60.719,0.9,0.002,6.1,0.001,8.8,0.001,33.3,0.001,22.9,0.001,14.8,36.841,0.8,36.532,0.6,0.006,24.9,0.001,23.9,0.001,36.3,0.001,14.4,<0.000,N/A,0.007,3.1,55.373,0.8,0.001,18.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1381.12 is over the calibration range,FALSE,152SMPL.d,12/19/21 12:06 AM,,Sample,,qwt4_3_10-60,,0.059,6.6,,,0.003,9.2,1381.12,27.2,199.774,0.5,0.005,14.3,0.002,12.7,0.002,27,0.002,3.7,0.001,49.5,155.313,1.1,153.738,1.2,0.017,10.7,0.001,21.9,0.001,33.3,0.001,42.6,<0.000,N/A,0.025,2.7,218.356,0.8,0.003,11.3,,
