Strain,Label,Condition,Condition Order,Strain Order,Group,La Rel Mean,La Rel SD,La p-value,La Significance,Eu Rel Mean,Eu Rel SD,Eu p-value,Eu Significance,Yb Rel Mean,Yb Rel SD,Yb p-value,Yb Significance,Significant Relative Change,Max Change
δmshC,{\it \delta mshC} HL,HL,3,6,MSHA,0.0039,0.0192,8.0313E-01,,-0.0013,0.0044,7.1331E-01,,-0.0012,0.0075,8.4638E-01,,N,0.0039
δmshB,{\it \delta mshB} HH,HH,4,8,MSHA,-0.0048,0.0335,8.5863E-01,,0.0096,0.0080,2.3321E-01,,-0.0075,0.0079,3.0826E-01,,N,0.0096
δmshB,{\it \delta mshB} LL,LL,1,8,MSHA,0.0086,0.0009,4.8694E-03,**,-0.0087,0.0040,9.0251E-02,,0.0026,0.0042,4.7698E-01,,Y,0.0087
δmshB,{\it \delta mshB} LH,LH,2,8,MSHA,0.0168,0.0040,2.7266E-02,*,-0.0150,0.0056,6.2572E-02,,0.0060,0.0062,3.0880E-01,,Y,0.0168
δmshB,{\it \delta mshB} HL,HL,3,8,MSHA,0.0201,0.0083,7.6529E-02,,-0.0027,0.0035,3.8770E-01,,-0.0072,0.0071,2.8757E-01,,N,0.0201
δmshA,{\it \delta mshA} HH,HH,4,7,MSHA,-0.0278,0.0410,4.3835E-01,,0.0231,0.0142,1.4698E-01,,-0.0099,0.0093,2.7113E-01,,N,0.0278
δmshA,{\it \delta mshA} LL,LL,1,7,MSHA,0.0163,0.0078,9.7938E-02,,-0.0048,0.0064,4.0173E-01,,-0.0071,0.0012,1.4123E-02,*,Y,0.0163
δmshA,{\it \delta mshA} LH,LH,2,7,MSHA,-0.0041,0.0265,8.4695E-01,,-0.0031,0.0206,8.5148E-01,,0.0061,0.0064,3.1237E-01,,N,0.0061
δmshA,{\it \delta mshA} HL,HL,3,7,MSHA,0.0152,0.0058,6.6658E-02,,-0.0026,0.0022,2.3663E-01,,-0.0046,0.0019,7.8662E-02,,N,0.0152
δhptA,{\it \delta hptA} HH,HH,4,1,Arc,0.0107,0.0334,6.9375E-01,,-0.0074,0.0093,3.7809E-01,,0.0009,0.0089,8.9487E-01,,N,0.0107
δhptA,{\it \delta hptA} LL,LL,1,1,Arc,0.0022,0.0017,2.2054E-01,,-0.0018,0.0043,6.1281E-01,,-0.0000,0.0055,9.9922E-01,,N,0.0022
δhptA,{\it \delta hptA} LH,LH,2,1,Arc,-0.0247,0.0170,1.7741E-01,,0.0106,0.0048,8.9866E-02,,0.0062,0.0178,6.6992E-01,,N,0.0247
δhptA,{\it \delta hptA} HL,HL,3,1,Arc,0.0279,0.0126,8.8195E-02,,-0.0097,0.0099,3.0055E-01,,-0.0066,0.0018,3.5543E-02,*,Y,0.0279
δetfB,{\it \delta etfB} HH,HH,4,3,Arc,-0.0257,0.0044,1.4096E-02,*,0.0045,0.0024,1.1679E-01,,0.0078,0.0026,4.9881E-02,*,Y,0.0257
δetfB,{\it \delta etfB} LL,LL,1,3,Arc,0.0000,0.0019,9.7845E-01,,0.0037,0.0007,1.5852E-02,*,-0.0038,0.0009,2.5169E-02,*,Y,0.0038
δetfB,{\it \delta etfB} LH,LH,2,3,Arc,0.0149,0.0055,6.2691E-02,,-0.0016,0.0006,5.6854E-02,,-0.0088,0.0033,6.4502E-02,,N,0.0149
δetfB,{\it \delta etfB} HL,HL,3,3,Arc,-0.0098,0.0143,4.3463E-01,,0.0121,0.0059,1.0041E-01,,-0.0060,0.0058,2.8472E-01,,N,0.0121
