Well,Wavelength (nm),Absorbance,Data Point Number,Well Number
"(5, 5)",640,0.2157,403,37
"(5, 5)",650,0.2493,404,37
"(5, 5)",660,0.245,405,37
"(5, 5)",670,0.1762,406,37
"(5, 5)",680,0.103,407,37
"(6, 5)",580,0.2851,408,38
"(6, 5)",590,0.2161,409,38
"(6, 5)",600,0.1606,410,38
"(6, 5)",610,0.1242,411,38
"(6, 5)",620,0.1019,412,38
"(6, 5)",630,0.0886,413,38
"(6, 5)",640,0.0829,414,38
"(6, 5)",650,0.0806,415,38
"(6, 5)",660,0.0692,416,38
"(6, 5)",670,0.0466,417,38
"(6, 5)",680,0.0267,418,38
"(7, 5)",580,0.2853,419,39
"(7, 5)",590,0.2744,420,39
"(7, 5)",600,0.2778,421,39
"(7, 5)",610,0.2708,422,39
"(7, 5)",620,0.2356,423,39
"(7, 5)",630,0.2078,424,39
"(7, 5)",640,0.2145,425,39
"(7, 5)",650,0.2484,426,39
"(7, 5)",660,0.2442,427,39
"(7, 5)",670,0.1756,428,39
"(7, 5)",680,0.1025,429,39
"(8, 5)",580,0.2852,430,40
"(8, 5)",590,0.2187,431,40
"(8, 5)",600,0.1659,432,40
"(8, 5)",610,0.1309,433,40
"(8, 5)",620,0.1083,434,40
"(8, 5)",630,0.0943,435,40
"(8, 5)",640,0.0898,436,40
"(8, 5)",650,0.0896,437,40
"(8, 5)",660,0.0785,438,40
"(8, 5)",670,0.0532,439,40
"(8, 5)",680,0.0303,440,40
"(1, 6)",580,0.2871,441,41
"(1, 6)",590,0.2239,442,41
"(1, 6)",600,0.1744,443,41
"(1, 6)",610,0.1406,444,41
"(1, 6)",620,0.1173,445,41
"(1, 6)",630,0.1032,446,41
"(1, 6)",640,0.1,447,41
"(1, 6)",650,0.1024,448,41
"(1, 6)",660,0.0911,449,41
"(1, 6)",670,0.062,450,41
"(1, 6)",680,0.0355,451,41
"(2, 6)",580,0.2848,452,42
"(2, 6)",590,0.2744,453,42
"(2, 6)",600,0.2783,454,42
"(2, 6)",610,0.2708,455,42
"(2, 6)",620,0.2355,456,42
"(2, 6)",630,0.2083,457,42
"(2, 6)",640,0.2152,458,42
"(2, 6)",650,0.2487,459,42
"(2, 6)",660,0.2442,460,42
"(2, 6)",670,0.1756,461,42
"(2, 6)",680,0.1026,462,42
"(3, 6)",580,0.2857,463,43
"(3, 6)",590,0.2237,464,43
"(3, 6)",600,0.1746,465,43
"(3, 6)",610,0.1412,466,43
"(3, 6)",620,0.118,467,43
"(3, 6)",630,0.1041,468,43
"(3, 6)",640,0.1011,469,43
"(3, 6)",650,0.1039,470,43
"(3, 6)",660,0.0932,471,43
"(3, 6)",670,0.0637,472,43
"(3, 6)",680,0.0363,473,43
"(4, 6)",580,0.2837,474,44
"(4, 6)",590,0.2752,475,44
"(4, 6)",600,0.2813,476,44
